,gene,Nmean,NSD,Cmean,CSD,methelation
11010,PHLDA2---Cluster4,0.0355086713488049,0.013759555389729816,0.02332086927647875,0.016311130188677168,Down
11011,PHLDA2---Cluster5,0.018338723143641763,0.0044103118343619945,0.021921516409072028,0.0227455174248947,Up
11012,PHLDA3---Cluster1,0.020576270619248424,0.0036024192424596365,0.03647165072905642,0.03874604793992289,Up
11013,PHLDA3---Cluster2,0.013738448404197674,0.0017590140975601155,0.01711749446905361,0.007269158758248402,Up
11014,PHLDB1---Cluster1,0.6800570552414313,0.07584373023531057,0.6926800606038652,0.1377425541673403,Up
11015,PHLDB1---Cluster2,0.7235306678342183,0.08777469091840642,0.7984688911067718,0.1519069845210185,Up
11016,PHLDB2,0.8575188386538264,0.01715652835217538,0.8884115834197948,0.055013560920700096,Up
11017,PHLDB3---Cluster1,0.0075672205967524326,0.0009476267430150773,0.011374176177949526,0.0026838845374342318,Up
11018,PHLDB3---Cluster2,0.7725753600711601,0.018680927517167264,0.7652434429019324,0.06695179005619555,Down
11019,PHOSPHO1,0.00942595423680611,0.0004939936781472011,0.013715943719137454,0.004152756992718551,Up
11020,PHOX2A---Cluster1,0.015758864740189442,0.004851980910604272,0.15659769149742586,0.19468943089286947,Up
11021,PHOX2B---Cluster1,0.07019628284573498,0.011124123769186959,0.13954288996845093,0.12388576384629545,Up
11022,PHPT1---Cluster1,0.021914294547323725,0.002409906734293739,0.02669286482182781,0.011729640078079213,Up
11023,PHTF1---Cluster1,0.16775554557459613,0.03220802902283016,0.11941703856446888,0.06451620948254164,Down
11024,PHTF1---Cluster2,0.02108802524957691,0.0025740388694714023,0.02435973351666633,0.00761760743705747,Up
11025,PHTF2,0.01697216881922854,0.014756318303617262,0.020888070576065555,0.004696115103391,Up
11026,PHYH,0.017078452183327375,0.003467387937622868,0.0282773693979885,0.0072580485117318535,Up
11027,PHYHD1---Cluster1,0.8374384191189644,0.054359847432513535,0.8382798114306625,0.09592139753288158,Up
11028,PHYHD1---Cluster2,0.9653449206059678,0.014982783177032026,0.8292276021472427,0.23171490856817756,Down
11029,PHYHIP---Cluster1,0.3398808088048955,0.0158701972788376,0.4829030966325432,0.18770108531473226,Up
11030,PHYHIPL---Cluster1,0.0181273009712856,0.0033183938923295898,0.026319402736051708,0.031951691332866836,Up
11031,PHYHIPL---Cluster2,0.0313676739404008,0.00788701229293889,0.03311327332700177,0.014462173963102709,Up
11032,PI15---Cluster1,0.6615324312363056,0.07469860981886946,0.4914512355095348,0.2768720505125348,Down
11033,PI3,0.24372815387680166,0.06994807151663031,0.12861424944433544,0.08989503787765396,Down
11034,PI4K2A---Cluster1,0.03273249412410455,0.007250472447999467,0.04091444544645816,0.0200899478527348,Up
11035,PI4K2B---Cluster1,0.029641506422069988,0.006431737882114372,0.026234811510501013,0.006103793955182665,Down
11036,PI4K2B---Cluster2,0.028450372954652674,0.0038040419644552854,0.044066873183638375,0.01220286226547544,Up
11037,PI4KA,0.9019900118910008,0.034634021520292484,0.8420587310424273,0.06688817634061096,Down
11038,PI4KB,0.009275367301653886,0.0004891903992471683,0.015516071445456456,0.020101238274873257,Up
11039,PIAS1---Cluster1,0.012384659165580821,0.0027302317666107337,0.02799413141713369,0.012315259895834986,Up
11040,PIAS1---Cluster2,0.01636603237038754,0.003773188346733517,0.02753944914670492,0.018173319450619632,Up
11041,PIAS3---Cluster1,0.02037077591635275,0.0015387259317270134,0.021567653398489785,0.008445567445051594,Up
11042,PIAS4,0.01204188292967925,0.001221785984465317,0.01791830330818809,0.0053172599795411855,Up
11043,PICALM,0.3665126101482852,0.0224726813264364,0.26498046202446945,0.2152334235721592,Down
11044,PICK1,0.02018334064472204,0.002830092100662177,0.037991358129942254,0.02046029037374308,Up
11045,PID1---Cluster1,0.556733059498121,0.06040764999027939,0.5433968367797276,0.2390878815753035,Down
11046,PID1---Cluster2,0.08145460250586062,0.024349827044932656,0.11577879530121073,0.14119827709240693,Up
11047,PIF1,0.016429522540555037,0.002016027113014795,0.023119174241769718,0.01496297283150066,Up
11048,PIGA,0.26594559224443737,0.04409980531490374,0.1984493042450319,0.15361166132999374,Down
11049,PIGB,0.005947516116733119,0.0008649390949271378,0.020141266657015745,0.027896984285918573,Up
11050,PIGF,0.06922167640229306,0.01895875895931021,0.0744358716313152,0.05232746995635593,Up
11051,PIGG,0.009251089060826265,0.0015070265410031395,0.012225898249465336,0.0031515155718566164,Up
11052,PIGH,0.9532794105066452,0.007478165451848788,0.8686167274024533,0.17431555434897014,Down
11053,PIGK---Cluster1,0.03325251828897085,0.00697541332313357,0.05155520736235699,0.02616147895813414,Up
11054,PIGK---Cluster2,0.007236709729593495,0.0007182325793694749,0.012606758041061844,0.005207783238287686,Up
11055,PIGL---Cluster1,0.02715630991757375,0.005579786545871022,0.049267688450106005,0.028535361274302742,Up
11056,PIGM,0.009797155649351432,0.0009430724625922305,0.013695835183557641,0.0056222584081652574,Up
11057,PIGO---Cluster1,0.09027755033970826,0.004441616450008585,0.15524313647744464,0.045765808751807406,Up
11058,PIGO---Cluster2,0.0666511488421881,0.008719918754099191,0.08767675044419758,0.021395110017716733,Up
11059,PIGO---Cluster3,0.018288726462464273,0.0023119761377692768,0.025912640410442608,0.012073676941031423,Up
11060,PIGO---Cluster4,0.017230199035662124,0.002409987486946175,0.026468971345318813,0.026841630616355697,Up
11061,PIGP,0.013775088103999387,0.0020916276989330095,0.01950144157633157,0.009280400979824664,Up
11062,PIGQ---Cluster1,0.01607478934678715,0.0009346282422290443,0.019197206325793637,0.0065986205460255,Up
11063,PIGR---Cluster1,0.4215946457796143,0.07344088125439834,0.4149461132423391,0.22055517867749536,Down
